series_name,episode,series_ep,season,season_ep,user_rating,user_votes
Game of Thrones,The Dance of Dragons,49,5,9,9.5,30848
Game of Thrones,Mother's Mercy,50,5,10,9.1,29938
Game of Thrones,The Red Woman,51,6,1,8.6,29225
Game of Thrones,Home,52,6,2,9.5,35311
Game of Thrones,Oathbreaker,53,6,3,8.8,23489
Game of Thrones,Book of the Stranger,54,6,4,9.2,25659
Game of Thrones,The Door,55,6,5,9.7,51977
Game of Thrones,Blood of My Blood,56,6,6,8.5,23288
Game of Thrones,The Broken Man,57,6,7,8.7,22489
Game of Thrones,No One,58,6,8,8.4,26113
Game of Thrones,Battle of the Bastards,59,6,9,9.9,159456
Game of Thrones,The Winds of Winter,60,6,10,9.9,109640
Game of Thrones,Dragonstone,61,7,1,8.7,36824
Game of Thrones,Stormborn,62,7,2,9.0,30774
Game of Thrones,The Queen's Justice,63,7,3,9.3,31936
Game of Thrones,The Spoils of War,64,7,4,9.8,64408
Game of Thrones,Eastwatch,65,7,5,9.0,29970
Game of Thrones,Beyond the Wall,66,7,6,9.2,44451
Game of Thrones,The Dragon and the Wolf,67,7,7,9.6,42685
