series_name,episode,series_ep,season,season_ep,user_rating,user_votes
Vikings,Moments of Vision,59,5,10,7.4,3732
Vikings,The Revelation,60,5,11,7.9,1659
Vikings,Murder Most Foul,61,5,12,8.0,1469
Vikings,A New God,62,5,13,7.3,1348
Vikings,The Lost Moment,63,5,14,7.2,1277
Vikings,Hell,64,5,15,8.8,1872
Vikings,The Buddha,65,5,16,7.9,1203
Vikings,The Most Terrible Thing,66,5,17,7.0,1281
Vikings,Baldur,67,5,18,7.9,1213
Vikings,What Happens in the Cave,68,5,19,8.3,1083
Vikings,Ragnarok,69,5,20,8.9,1747
Game of Thrones,Winter Is Coming,1,1,1,9.0,27890
Game of Thrones,The Kingsroad,2,1,2,8.8,21414
Game of Thrones,Lord Snow,3,1,3,8.7,20232
Game of Thrones,"Cripples, Bastards, and Broken Things",4,1,4,8.8,19256
Game of Thrones,The Wolf and the Lion,5,1,5,9.1,20198
Game of Thrones,A Golden Crown,6,1,6,9.2,20039
Game of Thrones,You Win or You Die,7,1,7,9.3,20544
Game of Thrones,The Pointy End,8,1,8,9.1,18815
Game of Thrones,Baelor,9,1,9,9.6,26528
Game of Thrones,Fire and Blood,10,1,10,9.5,23500
Game of Thrones,The North Remembers,11,2,1,8.9,18814
Game of Thrones,The Night Lands,12,2,2,8.6,17670
Game of Thrones,What Is Dead May Never Die,13,2,3,8.9,17489
Game of Thrones,Garden of Bones,14,2,4,8.9,16827
Game of Thrones,The Ghost of Harrenhal,15,2,5,8.9,16971
Game of Thrones,The Old Gods and the New,16,2,6,9.1,17924
Game of Thrones,A Man Without Honor,17,2,7,9.0,17372
Game of Thrones,The Prince of Winterfell,18,2,8,8.9,17086
Game of Thrones,Blackwater,19,2,9,9.7,30521
Game of Thrones,Valar Morghulis,20,2,10,9.4,21676
Game of Thrones,Valar Dohaeris,21,3,1,8.9,19115
Game of Thrones,"Dark Wings, Dark Words",22,3,2,8.7,16956
Game of Thrones,Walk of Punishment,23,3,3,8.9,17169
Game of Thrones,And Now His Watch Is Ended,24,3,4,9.6,23972
Game of Thrones,Kissed by Fire,25,3,5,9.0,17422
Game of Thrones,The Climb,26,3,6,8.9,17283
Game of Thrones,The Bear and the Maiden Fair,27,3,7,8.8,16591
Game of Thrones,Second Sons,28,3,8,9.1,17241
Game of Thrones,The Rains of Castamere,29,3,9,9.9,68936
